genre,sinopsis
Action,Sambungan dari Digimon Adventure tri 1: Saikai
"Action,Comedy,Martial Arts,Mystery,Super Power,Supernatural","Seigi seorang murid SMP pengguna seni bela diri yang sudah terlatih, sering berhadapan dengan situasi di mana ia harus melindungi orang lain. Suatu hari, dia melindungi seorang laki-laki dari sasaran para preman, dan sebagai balas budinya laki-laki itu pun memberinya sebuah tato aneh di telapak tangannya. Tato tersebut adalah senjata rahasia yang dibuat saat terjadinya perselisihan ras antara Amerika dan Kerajaan Serinistan.,Seigi bertemu dengan seorang gadis kuat yang juga menggunakan senjata rahasia tersebut, gadis itu mengejarnya dan berniat mengambil senjata rahasia itu darinya. Kemampuan seni bela diri Seigi tak cukup untuk membuatnya bisa bertahan hidup, namun akankah Seigi mengetahui pemicu dari kekuatan tatonya?"
"Action,Demons,Fantasy,Shounen,Supernatural","Musim kedua dari serial anime Ao no Exorcist yang menceritakan Rin Okumura yang merupakan anak dari Satan, namun dia ingin menjadi seorang exorcist. Dia pun mulai berlatih di Akademi Exorcist, dan di sana lah kenyataan dirinya anak iblis menjadi semakin terlihat setelah ia terlibat dengan penyerangan yang dilakukan Amaimon. Sementara itu, pihak akademi sendiri menjadi waspada setelah mereka menyadari bahwa “Mata Kiri dari Raja Tak Murni” telah dicuri. Lalu apakah yang akan dihadapi Rin dan teman-teman sekelasnya?"
"Action,Adventure,Fantasy",Musim kedua dari anime Tales of Zestiria the X.
"Action,Comedy,Martial Arts,Shounen,Super Power","Naruto: Shippuuden adalah kelanjutan dari serial TV animasi original Naruto. B erkisah tentang tokoh utama yaitu Uzumaki Naruto yang lebih dewasa dan usahanya untuk menyelamatkan temannya Uchiha Sasuke dari cengkeraman shinobi manusia ular , Orochimaru . Setelah dua setengah tahun Naruto akhirnya kembali ke desanya Konoha , dan menceritakan tentang perjalanan hidupnya , yang tidak akan mudah , karena ia telah menjadi incaran musuh berbahaya yaitu sebuah organisasi shinobi kriminal. Akatsuki."
"Action , Adventure","Cerita berseting pada dunia khayalan , di sebuah tempat di mana terdapat Guild Penyihir disebut “ Fairy Tail.” Fairy Tail berada di kota Magnolia , yang merupakan bagian dari Kerajaan Fiore , Fairy Tail saat ini dipimpin oleh Makarov , Master Guild itu sendiri. Lucy Heartfilia , seorang gadis 17 tahun , ingin menjadi penyihir sepenuhnya dan bergabung dengan salah satu Guild Penyihir elit di dunia yaitu Fairy Tail . Suatu hari , benar-benar sebuah kebetulan , dia bertemu Natsu Dragneel , seorang anak laki-laki yang menderita penyakit mabuk kendaraan . Namun, dia tidak tahu kalau Natsu adalah seorang yang memiliki hubungan paling dekat dengan Fairy Tail , karena ia adalah penyihir Fairy Tail ."
"Action,Drama,Horror,Mystery,Psychological,Seinen,Supernatural","Musim kedua dari anime Tokyo Ghoul yang bercerita tentang makhluk aneh yang me makan manusia , mereka disebut “ Ghoul”. Seorang mahasiswa , Kaneki Ken , menjalani kehidupan normal dan telah jatuh cinta dengan seorang gadis. Tapi, setelah kencan pertama mereka ternyata gadis itu adalah seorang Ghoul . dia pun benar-benar trauma , dan entah bagaimana dia bisa selamat dari Ghoul yang tiba-tiba mati dengan sendirinya. Apa yang akan terjadi saat para dokter menanamkan beberapa organ padanya , agar dia bisa bertahan hidup?"
"Action,Historical,Mecha","Pada akhir periode Edo, Jepang telah mengalami krisis belum pernah terjadi sebelumnya oleh Kurofune (Kapal Hitam), kapal-kapal dari negara-negara asing. Tapi robot raksasa yang disebut Onigami, yang sudah ada sejak jaman kuno mampu mengusir kapal Kurofune dan juga negara asing tersebut. Cerita dimulai di Jepang di mana restorasi Meiji pada tahun 1868 tidak terjadi. Pepatahnya mengatakan, “Aku bisa menjadi manusia terhebat di dunia, karena aku jomblo!”"
"Comedy,Ecchi,Harem,Romance,School,Sci-Fi,Shounen",Musim kedua dari anime To LOVE-Ru Darkness .
"Action,Adventure,Fantasy,Game,Supernatural","Cerita dimulai dari Yggdrasil , sebuah game online populer yang diam-diam shut down. Namun , sang tokoh utama Momonga memutuskan untuk tidak log out . Momonga kemudian diubah menjadi sesosok skeleton “ penyihir paling kuat .” Dunia terus berubah , dengan karakter non - pemain ( NPC) yang mulai merasakan emosi . Tak memiliki orang tua , teman , atau tempat dalam masyarakat , anak muda biasa yang bernama Momonga ini kemudian berusaha untuk mengambil alih dunia permainan yang baru ini."
"Game,Mystery,Psychological",Tentang sebuah permainan yang dilakukan di sebuah bar misterius dengan nyawa sebagai taruhannya.
"Ecchi,School,Shounen","Impian dari Yukihira Souma adalah menjadi seorang koki fulltime di restoran ayahnya dan melampaui keterampilan memasak ayahnya. Tapi, setelah Souma lulus SMP, ayahnya yaitu Yukihira Jouichirou, menutup restorannya di Eropa. Meskipun dia merasa down setelah itu, Souma tetap menyimpan semangat bertarungnya yang berasal dari tantangan Jouichirou untuk bertahan di sebuah sekolah kuliner elit di mana hanya 10% dari siswanya lulus. Akankah Souma bisa bertahan?"
"Action,Adventure,Comedy,Demons,Shounen,Supernatural","Ushio beranggapan kalau pembicaraan ayahnya mengenai iblis yang tertusuk tombak legenda di kuil batu hanyalah omong kosong belaka , tetapi saat ia melihat sendiri rakasa yang ada di dalam ruang bawah tanah , Ushio harus mengubah anggapannya mengenai legenda keluarga ! Untuk menyelamatkan teman-temannya dan keluarga dari roh-roh yang menyerang , Ushio dipaksa untuk melepaskan Tora dari belenggunya . Tapi akankah makhluk yang dilepaskan Ushio ini akan memperburuk keadaan? Silakan tonton episode-episodenya di bawah ini."
"Action,Comedy,Shounen,Sports","Siswa SMP yang berjuang keras melawan satu sama lain dalam sebuah turnamen nasional. Sekarang, 50 perwakilan yang dipilih kembali untuk bertarung lagi sebagai siswa SMA!,Panggungnya adalah U-17 (pemain di bawah umur 17 tahun) Kamp. pelatihan Perwakilan Jepang. Siswa SMP telah diundang untuk pertama kalinya ke kamp dikenal menghasilkan pemain tenis terbaik Jepang. Tim juara Nasional Seigaku, Hyotei, Rikkai, Shitenhoji .. . dengan semua saingan dari turnamen nasional yang hadir, semua orang tak sabar menunggu reuni mereka.,Pada awalnya, anak-anak SMP tak berharap banyak pada permainan anak SMA. Namun, kamp pelatihan tidak begitu mudah! Atlet dengan keterampilan yang tak tertandingi muncul di hadapan mereka. Menghadapi hal tersebut, akankah murid-murid SMP bisa bertahan?"
"Action,Mecha,Sci-Fi","Berbeda dengan pertarungan Gundam pada umumnya. Gundam Build Fighter adalah sebuah pertarungan simulasi Gundam. Unit Gundam dirangkai dari model plastiknya. Tokoh utamanya adalah seorang anak laki-laki yang bernama Iori Sei. Sei memiliki kemampuan merangkai Gundam yang hebat, namun dia tak memiliki kemampuan untuk mengendalikan gundam yang ia rangkai saat melakukan Gunpla Battle. Namun satu hari dia bertemu dengan seorang pencuri roti misterius, yang memberinya sebuah batu permata."
"Comedy,School,Shounen,Sports","Awal cerita S2 kali ini, Tim Basket Seirin melepas lelah di sebuah cafe setelah melakukan pertandingan, dan mereka akhirnya berikan libur oleh pelatih mereka dan menyuruh semuanya untuk beristirahat, namun ada beberapa anak tingkat satu yang ingin mengikuti kompetisi street ball, mereka ingin berlibur sekaligus mengikuti kompetisi basket street ball namun ada kejadian mengejutkan yang terjadi disana, apakah itu?"
Action,"Episode special dari Gundam Build Fighter Special yang menceritakan di mana Nils Nielsen sedang mengembangkan sistem Battle Gunpla yang baru, namun berkali-kali ia uji coba, selalu mengalami kegagalan dengan adanya peningkatan reaksi partikelnya. Apakah yang menyebabkan hal itu terjadi? Saksiskan petualangan Try Fighter di sebuah pulang yang memaksa mereka bertarung dengan Gunpla mereka."
